type,t,p,v
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8703,106
deadend,150,8703,-
current,149,8597,105
deadend,149,8597,-
current,148,8492,104
deadend,148,8492,-
current,147,8388,103
deadend,147,8388,-
current,146,8285,102
deadend,146,8285,-
current,145,8183,101
deadend,145,8183,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8697,105
deadend,150,8697,-
current,149,8592,104
deadend,149,8592,-
current,148,8488,103
deadend,148,8488,-
current,147,8385,102
deadend,147,8385,-
current,146,8283,101
deadend,146,8283,-
current,145,8182,100
deadend,145,8182,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8669,97
deadend,150,8669,-
current,149,8572,96
deadend,149,8572,-
current,148,8476,97
deadend,148,8476,-
current,147,8379,98
deadend,147,8379,-
current,146,8281,99
deadend,146,8281,-
current,145,8182,100
deadend,145,8182,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8669,97
deadend,150,8669,-
current,149,8573,97
deadend,149,8573,-
current,148,8478,99
deadend,148,8478,-
current,147,8379,98
deadend,147,8379,-
current,146,8281,99
deadend,146,8281,-
current,145,8182,100
deadend,145,8182,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8671,97
deadend,150,8671,-
current,149,8575,98
deadend,149,8575,-
current,148,8478,99
deadend,148,8478,-
current,147,8380,99
deadend,147,8380,-
current,146,8283,101
deadend,146,8283,-
current,145,8182,100
deadend,145,8182,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
deadend,129,6582,-
current,128,6482,100
deadend,128,6482,-
current,127,6382,100
deadend,127,6382,-
current,126,6282,100
current,127,6381,99
current,128,6479,98
current,129,6576,97
current,130,6672,96
current,131,6767,95
current,132,6861,94
current,133,6954,93
current,134,7046,92
current,135,7137,91
current,136,7227,90
current,137,7316,89
current,138,7404,88
current,139,7491,87
current,140,7577,86
current,141,7662,85
current,142,7746,84
current,143,7829,83
current,144,7911,82
current,145,7992,81
current,146,8072,80
current,147,8151,79
current,148,8229,78
current,149,8306,77
current,150,8382,76
current,151,8457,75
current,152,8531,74
current,153,8604,73
current,154,8676,72
current,155,8747,71
current,156,8818,71
current,157,8889,71
current,158,8960,71
current,159,9032,72
current,160,9105,73
current,161,9179,74
current,162,9254,75
current,163,9330,76
current,164,9407,77
current,165,9485,78
current,166,9564,79
current,167,9643,79
current,168,9722,79
current,169,9801,79
current,170,9880,79
current,171,9960,80
current,172,10041,81
current,173,10123,82
current,174,10206,83
current,175,10290,84
current,176,10373,83
current,150,8692,104
deadend,150,8692,-
current,149,8588,103
deadend,149,8588,-
current,148,8485,102
deadend,148,8485,-
current,147,8383,101
deadend,147,8383,-
current,146,8282,100
deadend,146,8282,-
current,145,8182,100
deadend,145,8182,-
current,144,8082,100
deadend,144,8082,-
current,143,7982,100
deadend,143,7982,-
current,142,7882,100
deadend,142,7882,-
current,141,7782,100
deadend,141,7782,-
current,140,7682,100
deadend,140,7682,-
current,139,7582,100
deadend,139,7582,-
current,138,7482,100
deadend,138,7482,-
current,137,7382,100
deadend,137,7382,-
current,136,7282,100
deadend,136,7282,-
current,135,7182,100
deadend,135,7182,-
current,134,7082,100
deadend,134,7082,-
current,133,6982,100
deadend,133,6982,-
current,132,6882,100
deadend,132,6882,-
current,131,6782,100
deadend,131,6782,-
current,130,6682,100
deadend,130,6682,-
current,129,6582,100
